Text,State,City,Year,Type,Source
"After COVID cases were announced…my kids told me that they have been getting picked on for being Asian at school. Students would comment out loud that my kids had the coronavirus and that everyone should stay away from them. It continued until schools were officially closed. When we would go out, we were knowingly shunned where parents would pull their kids away from us if they got close.",Texas,The Woodlands,,Avoidance/Shunning,https://stopaapihate.org/wp-content/uploads/2021/05/Stop-AAPI-Hate-Report-National-210506.pdf
"I entered the public bathroom at [a] grocery store. A white man and his son were at the bathroom [and] when [the] white man saw me, he said “Sh*t, there is an Asian coming!"" He called his son, and quickly escaped the bathroom.",Indiana,West Lafayette,,Avoidance/Shunning,https://stopaapihate.org/wp-content/uploads/2021/05/Stop-AAPI-Hate-Report-National-210506.pdf
"I'm Chinese American. During this pandemic, at the mall, I was asked [by a person] to take the next following elevator because I was making her mother “uncomfortable” just by my presence, yet they allowed another Caucasian man into the elevator. Maximum capacity of the elevator was four people, yet I was excluded because of their fear of my race.",California,West Hollywood,,Avoidance/Shunning,https://stopaapihate.org/wp-content/uploads/2021/05/Stop-AAPI-Hate-Report-National-210506.pdf
"My mother was ordering food at a [restaurant] when a man tried to hit her in the face. She was able to avoid him, but he yelled a bunch of slurs — “Go back to China!” and “Corona!” — at her before he ran out.",California,Northridge,,Physical Assault,https://stopaapihate.org/wp-content/uploads/2021/05/Stop-AAPI-Hate-Report-National-210506.pdf
My elderly mother (65 years old) was waiting for the subway. Someone tried to push her off the platform down into the train tracks. She screamed and a fellow bystander chased off the perpetrator. The good samaritan stood nearby my mom until she boarded the train safely.,Massachusetts,Boston,,Physical Assault,https://stopaapihate.org/wp-content/uploads/2021/05/Stop-AAPI-Hate-Report-National-210506.pdf
"I was at lunch and an Asian kid was spit at and called names, “Ching Chong, slant, ch***.” Another kid came and slapped him on the back of the head.",Louisiana,Scott,,Physical Assault,https://stopaapihate.org/wp-content/uploads/2021/05/Stop-AAPI-Hate-Report-National-210506.pdf
"My boyfriend and I were walking back home through the back alleyway attached to our complex. Two white men, who park back there and live nearby, tried to hit us with their car. We jumped out of the way and they missed us by inches. They then stopped and yelled out of the window at us “Go back to China!” three times along with profanity",California,Beverly Hills,,Physical Assault,https://stopaapihate.org/wp-content/uploads/2021/05/Stop-AAPI-Hate-Report-National-210506.pdf
"I was playing League of Legends with some friends on a call. One of my friends kept yelling racial slurs at my friend who is Chinese and me. He kept saying things like ""You f***ing ch***!"" or ""dog eater!"" and asking if we have the virus.",California,Stockton,,Online,https://stopaapihate.org/wp-content/uploads/2021/05/Stop-AAPI-Hate-Report-National-210506.pdf
"A random person messaged me on Facebook. They used slurs against me and against my Asian husband calling him ""an almost Black ch***"" and saying we should both be hung.",Minnesota,Dilworth,,Online,https://stopaapihate.org/wp-content/uploads/2021/05/Stop-AAPI-Hate-Report-National-210506.pdf
"I was in the middle of a Zoom presentation at [an event] when two people hacked into the Zoom room and started disrupting my presentation with barely intelligible remarks. They were kicked out but not before entering into the Zoom Chat: ""CHING CHONG. ASIANS DESERVES TO BE KILLED."" And then: “lol.""",California,Culver City,,Online,https://stopaapihate.org/wp-content/uploads/2021/05/Stop-AAPI-Hate-Report-National-210506.pdf
"I was at work, minding my own business and using the restroom, when one customer came up to me. As I turned around, he caught a glimpse of my eyes and began with the racial slurs. Eventually, as I was leaving, the customer spat on me. He even said things such as “Go home and take the COVID with you.”",Michigan,Muskegon,,Coughed/Spat On,https://stopaapihate.org/wp-content/uploads/2021/05/Stop-AAPI-Hate-Report-National-210506.pdf
"[I was] crossing the street in San Francisco when a man crossing from the opposite direction approached me, pulled down his mask, yelled at me, ""Go back to your country!"" and spit on my face before taking off.",California,San Francisco,,Coughed/Spat On,https://stopaapihate.org/wp-content/uploads/2021/05/Stop-AAPI-Hate-Report-National-210506.pdf
"I was eating and talking on the phone in Chinese when a man came up to me, called me a “Ch***"" and spit on me.",Oklahoma,Oklahoma City,,Coughed/Spat On,https://stopaapihate.org/wp-content/uploads/2021/05/Stop-AAPI-Hate-Report-National-210506.pdf
"I was at a gas station with my father. I was trying to buy some gum until a person told me, “Kid, you’re a virus, go back to Asia, you Asian b****.”",Alaska,Fayetteville,,Refusal Of Service,https://stopaapihate.org/wp-content/uploads/2021/05/Stop-AAPI-Hate-Report-National-210506.pdf
The worker at the store called out Asian people and refused to ring them up. Any item I grabbed he said he was reserving for himself. He also called me “Yellow ch***.”,California,Alhambra,,Refusal Of Service,https://stopaapihate.org/wp-content/uploads/2021/05/Stop-AAPI-Hate-Report-National-210506.pdf
"We received discriminatory, targeted poor service at [a restaurant]. We were the only Asian party there. The server mocked us by imitating an Asian language, purposefully grated a pile of parmesan cheese over my friend's lap, and hovered over her when delivering her check, invading her personal space when she was sitting alone and vulnerable. The other parties in the restaurant were treated warmly and with welcoming attention. We were explicitly ignored throughout the duration of our lunch.",New York,New York City,,Refusal Of Service,https://stopaapihate.org/wp-content/uploads/2021/05/Stop-AAPI-Hate-Report-National-210506.pdf
"[I] arrived early for a group fitness class, waited and was [among] the first ten to enter the room. The instructor kicked me out and said “not for ch***y eyes.”",New York,New York City,,Refusal Of Service,https://stopaapihate.org/wp-content/uploads/2021/05/Stop-AAPI-Hate-Report-National-210506.pdf
"Two physicians [were] discussing the origin of the virus and calling it the “China virus” in front of the rest of the staff in the hospital. Also, there is harassment/discrimination against Asian healthcare workers in certain departments of the same hospital.",California,Carmel,,Workplace Discrimination,https://stopaapihate.org/wp-content/uploads/2021/05/Stop-AAPI-Hate-Report-National-210506.pdf
"I was discriminated against by my own bosses and coworkers, along with customers. I was being told to ""go back to my country,"" or that I would ""give them"" COVID. I would even get death threats from customers, and they would tell me to kill myself and/or they would kill me.",California,Santa Maria,,Workplace Discrimination,https://stopaapihate.org/wp-content/uploads/2021/05/Stop-AAPI-Hate-Report-National-210506.pdf
"While working as a cashier, without provocation, a customer told me to, ""Go back to your country."" He did so in a nasty way. I was afraid for my safety and job. I reported it to my supervisor. He did nothing and did not know what to do. This was the 6th time this happened to me where customers were harassing me for just being an Asian.",Rhode Island,Cranston,,Workplace Discrimination,https://stopaapihate.org/wp-content/uploads/2021/05/Stop-AAPI-Hate-Report-National-210506.pdf
"I've lived in the [neighborhood] over a decade and never seen any graffiti targeting Asians. I have shopped at this [drug store] since the opening of the location, but in my recent trip last week I found the offensive graffiti, “NO ASIAN PARKING” in the parking garage. I notified the drug store management too.",Washington,Seattle,,Vandalism,https://stopaapihate.org/wp-content/uploads/2021/05/Stop-AAPI-Hate-Report-National-210506.pdf
“GTFO my state pedophilia asian b****” was written on a convenience store wall on my street multiple times.,California,San Jose,,Vandalism,https://stopaapihate.org/wp-content/uploads/2021/05/Stop-AAPI-Hate-Report-National-210506.pdf
"I was shopping at [store] in Milpitas when an older man started making faces at me. I asked him what was wrong and he said, ""What's wrong? You are out here shopping!"" I was confused, and he followed up with, ""We delisted your companies, shipped back your international students…when do you ship out? When do you ship out? We are going to take away your citizenship!""",California,Milpitas,,Verbal Harassment,https://stopaapihate.org/wp-content/uploads/2021/05/Stop-AAPI-Hate-Report-National-210316.pdf
"A white man catcalled me, then aggressively followed me down the block, and got inches from my face and yelled “Ch*nk!” and “C*nt!” after realizing I was Asian. Lots of neighbors were standing outside their homes and no one intervened.",New York,Brooklyn,,Verbal Harassment,https://stopaapihate.org/wp-content/uploads/2021/05/Stop-AAPI-Hate-Report-National-210316.pdf
"As I was shopping, a white woman and what I am assuming was her husband came into the aisle I was in. They gave me dirty looks and just looked me up and down like they were disgusted with me. I tried to ignore it the best I could so I just walked away. To add to the story, I am a part of the LGBTQ+ community so I was wearing a mask that showed love and support for the community. As I walked away, the woman proceeded to walk up to me and stop me. She looked me up and down and said these exact words: “Oh so you’re one of them?” And I was of course confused but then I remembered I had on the LGBTQ+ mask. I politely responded “Excuse me?” She proceeded to say slurs that were both directed towards Asians and the LGBTQ+ community",Kentucky,Jefferson,,Verbal Harassment,https://stopaapihate.org/wp-content/uploads/2021/05/Stop-AAPI-Hate-Report-National-210316.pdf
"Two white, middle-aged men, who have been my neighbors for over fifteen years, approached me threateningly on the street, pulled down the corners of their eyes and said, “Go back to Wuhan, b*tch and take the virus with you!” When I called them vile, they then called me a “Thai wh*re” and threatened to beat up my husband.",Canada,Vancouver,,Verbal Harassment,https://stopaapihate.org/wp-content/uploads/2021/05/Stop-AAPI-Hate-Report-National-210316.pdf
"This specific incident was in a NYC grocery store where a man started screaming at me and called me a ""disgusting f*cking animal,"" told me to ""get the f*ck out of the store,"" asked if I was crazy, and told me to ""go back home"" and ""get out of the f*cking country."" He followed me around the store screaming at me and nobody did anything.",New York,New York City,,Verbal Harassment,https://stopaapihate.org/wp-content/uploads/2021/05/Stop-AAPI-Hate-Report-National-210316.pdf
"My boyfriend and I were riding the metro into DC. When on the escalator in the transfer station, a man repeatedly punched my back and pushed past us. At the top, he circled back toward us, followed us, repeatedly shouted ""Chinese b**ch"" at me, fake coughed at, and physically threatened us. A few days later, we saw a news story about how the owner of Valley Brook Tea in DC was harassed and pepper sprayed by the same man, calling him ""Covid-19"" repeatedly.",Virginia,Annandale,,Physical Assault,https://stopaapihate.org/wp-content/uploads/2021/05/Stop-AAPI-Hate-Report-National-210316.pdf
"During an Asian American protest, a white man driving a silver Mercedes drove past the first wave of Asian protesters yelling out of his window at them, ""Stupid f*cking Asians!"" Afterwards, he drove to where the remaining Asian protesters stood and was witnessed by multiple protesters aggressively driving onto the walkway where several protesters were gathered. Several elderly Hmong women jumped out of the way. An 8-year-old boy, who stood in the path of the oncoming vehicle, was startled into action and quickly moved out of the way towards safety",California,Elk Grove,,Physical Assault,https://stopaapihate.org/wp-content/uploads/2021/05/Stop-AAPI-Hate-Report-National-210316.pdf
I came into the coffee shop at Mercato and people started leaving the area where I sat one by one. People started coming in and they sat on the other side of the coffee shop away from me. I became isolated on one side of the coffee shop.,Florida,Naples,,Avoidance/Shunning,https://stopaapihate.org/wp-content/uploads/2021/05/Stop-AAPI-Hate-Report-National-210316.pdf
"A [ride hailing service] driver said to me after I got into his car, ""Damn, another Asian riding with me today, I hope you don't have any COVID."" He was leaning as much as he could against the driver's door with his head tilted toward the window implying he doesn't want to be close to me while I am sitting diagonally behind him as a rider. After I told him, ""Have a good day,"" he replied back, ""You shouldn't be requesting anymore rides from anybody.""",Nevada,Las Vegas,,Avoidance/Shunning,https://stopaapihate.org/wp-content/uploads/2021/05/Stop-AAPI-Hate-Report-National-210316.pdf
"I am a Pacific Islander. I was at the mall with a friend. I was wearing a plumeria clip and was speaking Chamorro when a woman coughed and said, “You and your people are the reason why we have corona.” She then said, “Go sail a boat back to your island.”",Texas,Dallas,,Coughed/Spat On,https://stopaapihate.org/wp-content/uploads/2021/05/Stop-AAPI-Hate-Report-National-210316.pdf
"These white males were walking toward me, moved into the street when they saw me, yelled, “Hey ch*nk!” and then spit at me.",Texas,College Station,,Coughed/Spat On,https://stopaapihate.org/wp-content/uploads/2021/05/Stop-AAPI-Hate-Report-National-210316.pdf
"I was trying to enroll my daughter in a gymnastics class and had left several messages to call back. I was finally able to speak with the owner of the business and asked why he had not returned my phone calls, and was told that he did not like my name which is obviously Asian and he would not accept our daughter into his gym. I was so shocked at his blatant statement and hung up the phone.",California,Tustin,,Refusal Of Service,https://stopaapihate.org/wp-content/uploads/2021/05/Stop-AAPI-Hate-Report-National-210316.pdf
"I was shouted at and harassed by [business name] cashier, workers, as well as customers at the store to get out of the store. They said, “You Chinese bring the virus here and you dare ask people to keep social distance guidelines.”",California,Cupertino,,Refusal Of Service,https://stopaapihate.org/wp-content/uploads/2021/05/Stop-AAPI-Hate-Report-National-210316.pdf
There was graffiti in front of a supermarket that said “CHINA OFF MY FACE.” It was written quite large for pedestrians to read as they walked by.,New York,Astoria,,Vandalism,https://stopaapihate.org/wp-content/uploads/2021/05/Stop-AAPI-Hate-Report-National-210316.pdf
"At the street intersection, “Chink” was written four times in very large characters for three of the signs.",California,Westminster,,Vandalism,https://stopaapihate.org/wp-content/uploads/2021/05/Stop-AAPI-Hate-Report-National-210316.pdf
"I received a random email message from someone I don't know telling me to go back to China, blaming me for Chinese politics, calling Chinese ""heartless robots"" and telling me America doesn't need me to be part of the workforce.",Massachusetts,Boston,,Online,https://stopaapihate.org/wp-content/uploads/2021/05/Stop-AAPI-Hate-Report-National-210316.pdf
"A man sent me these messages: “Well, go die in Wuhan, China, the origin of the coronavirus and take Trump with you! B*TCH!”",New Jersey,Randolph,,Online,https://stopaapihate.org/wp-content/uploads/2021/05/Stop-AAPI-Hate-Report-National-210316.pdf
"One of my professors was talking about the public health response to COVID-19 and explicitly called it the ""China Virus"" and that ""we've gotta be very careful about that country and what they'd do to us.""",Maryland,College Park,,Online,https://stopaapihate.org/wp-content/uploads/2021/05/Stop-AAPI-Hate-Report-National-210316.pdf
"A man cut in front of me in the check-out line and I shook my head at him. He waited for me outside the store and confronted me and said “F**king lying b*tch Who the f**k are you? You’re not better than me. You weren’t in front. That’s why you’re spreading this shit. F**king nasty dirty conspiracy Chinese! You’re why we gotta wear masks, you disease-spreading, b!tch. F**k your people!” Then he drove off.",Georgia,,,Verbal Harassment,https://stopaapihate.org/wp-content/uploads/2021/04/Stop-AAPI-Hate-Report-Georgia-201228.pdf
My 14-year-old Chinese-born daughter was racially and verbally attacked and felt threatened at a [retail store]. She was called the “Chinese virus” and laughed at by two white men in their late twenties. She is so shaken up she is afraid to leave the house again and go into the public. This was her first time going out since the quarantine.,Georgia,,,Verbal Harassment,https://stopaapihate.org/wp-content/uploads/2021/04/Stop-AAPI-Hate-Report-Georgia-201228.pdf
"At the hospital for a bone marrow donor screening (I'm the donor) and was asked to wear a facemask by the nurse. Man sitting next to me said loudly into his cell phone, ""I'm going to get sick because of all these Chinese with face masks on."" I was the only non-white person in the room.",Georgia,,,Verbal Harassment,https://stopaapihate.org/wp-content/uploads/2021/04/Stop-AAPI-Hate-Report-Georgia-201228.pdf
A young white girl told her parents she was going to “die” and her parents asked why? And she said of the coronavirus and pointed in my direction.,Georgia,,,Verbal Harassment,https://stopaapihate.org/wp-content/uploads/2021/04/Stop-AAPI-Hate-Report-Georgia-201228.pdf
"My neighbor came to our yard uninvited to tell us how happy she was for the protests in Michigan. When I mentioned that Taiwan and South Korea did a good job on controlling the COVID-19 by testing and contact tracing, my neighbor got angry and accused me of being obnoxious and yelled at me, ""If you like Taiwan so much, you should go back to Taiwan!""",Georgia,,,Verbal Harassment,https://stopaapihate.org/wp-content/uploads/2021/04/Stop-AAPI-Hate-Report-Georgia-201228.pdf
"I was in line at the pharmacy when a woman approached me and sprayed Lysol all over me. She was yelling out, “You’re the infection. Go home. We don’t want you here.” I was in shock and cried and left the building. No one came to my help. I was never even diagnosed with COVID-19.",Georgia,,,Physical Assault,https://stopaapihate.org/wp-content/uploads/2021/04/Stop-AAPI-Hate-Report-Georgia-201228.pdf
I want to report a disturbing coughing incident experienced by my niece at the Atlanta airport on 3/17/2020. A Caucasian adult male walked up to her in an empty hallway and deliberately coughed on her repeatedly. She had no idea why he would do that as he had plenty of space to distance himself from her.,Georgia,,,Coughed/Spat On,https://stopaapihate.org/wp-content/uploads/2021/04/Stop-AAPI-Hate-Report-Georgia-201228.pdf
"My partner and I were walking on the sidewalk. Two men across the street mumbled something about me being the reason for coronavirus. After that one of them spat in my direction. The other man said ""you missed"" to him.",Georgia,,,Coughed/Spat On,https://stopaapihate.org/wp-content/uploads/2021/04/Stop-AAPI-Hate-Report-Georgia-201228.pdf
Someone in Atlanta is posting “Wuhan Plague” plaques on private property. https://www.ajc.com/news/local/wuhan-plague-plaques-found-atlanta-businesses-streets /b9takSWmtKqfqai7wAk8iL/,Georgia,,,Vandalism,https://stopaapihate.org/wp-content/uploads/2021/04/Stop-AAPI-Hate-Report-Georgia-201228.pdf
"In a workplace team meeting, I found myself being a target of snarky remarks about being linked to the source and the spread of the coronavirus. I'm not Chinese and I haven't traveled internationally in years.",Georgia,,,Workplace Discrimination,https://stopaapihate.org/wp-content/uploads/2021/04/Stop-AAPI-Hate-Report-Georgia-201228.pdf
"I was told to self quarantine for a week after going out of town and was the only one told to leave when others traveled as well. I am the only Asian working there. Since returning to work, my neighboring co-workers were allowed to work from home while I am in the office alone. My co-workers have been whispering amongst themselves about me and it has made me insecure and unsafe since then.",Georgia,,,Workplace Discrimination,https://stopaapihate.org/wp-content/uploads/2021/04/Stop-AAPI-Hate-Report-Georgia-201228.pdf
"I was at our local park with my mom, taking our daily walk. We both, of course, had our masks on. When we started walking up and down the flight of stairs we always do reps on, this lady that was on the opposite side of us with her husband, she kept making racist remarks to both me and my mom, for example, “Get off these steps, do you know about the Chinese disease"", and she even referred to me as ""Asian boy.""",California,Los Angeles,,Verbal Harassment,https://stopaapihate.org/wp-content/uploads/2021/04/Stop-AAPI-Hate-Report-Los-Angeles-201203.pdf
"I was walking with my Chinese American boyfriend in our neighborhood on a street we have never been to, wearing masks and holding a box of donuts. We passed a man, probably between 40-50, who was also wearing a mask and sunglasses, who stared at us for a solid ten minutes while we walked around the block. When we crossed to the side of the street opposite him, he began yelling, ""Who are these Chinese people walking around, taking pictures of our houses? F--k off, stay out of Highland Park!""",California,Los Angeles,,Verbal Harassment,https://stopaapihate.org/wp-content/uploads/2021/04/Stop-AAPI-Hate-Report-Los-Angeles-201203.pdf
I was in the grass with my puppy when a lady started screaming at me to “get off the sidewalk” and “move” out of her way. She kept yelling “f****** Asian!” “G--damn Asians!” “Go back to your country you f****** Asian!” And she also went on a tirade on how I was going to “eat my dog.” I was so shocked because we weren’t even on the sidewalk or in her way but she came up and got in my face with her Doberman Pinscher.,California,Los Angeles,,Verbal Harassment,https://stopaapihate.org/wp-content/uploads/2021/04/Stop-AAPI-Hate-Report-Los-Angeles-201203.pdf
"As my friend and I were walking out of a spa, a man across the street at a bus stop screamed slurs at us and blamed us for the outbreak. He then proceeded to chase us and attempt to throw his basket at us. We ran down Peck Road to, a Mexican food place and he went back to the bus stop.",California,Los Angeles,,Physical Assault,https://stopaapihate.org/wp-content/uploads/2021/04/Stop-AAPI-Hate-Report-Los-Angeles-201203.pdf
"While I was walking up the street I live on, a White male, 20s in appearance, noticed me and picked up a cup of coffee--filled--from the street and flung it at me. The spill missed me by a few feet. He appeared angry, proceeded to give me the middle finger, and calls me a racial slur (“chink”) before walking away.",California,Los Angeles,,Physical Assault,https://stopaapihate.org/wp-content/uploads/2021/04/Stop-AAPI-Hate-Report-Los-Angeles-201203.pdf
"A guy attacked me from behind and waved his fist when I sat quietly on the platform waiting for the subway. There was no one else except me and him at the time. Because I was wearing a mask, he scolded me as a ""chink"" and a communicator of COVID-19. I hid under the platform camera, He then tried to use the front wheel of his bicycle to attack me.",California,Los Angeles,,Physical Assault,https://stopaapihate.org/wp-content/uploads/2021/04/Stop-AAPI-Hate-Report-Los-Angeles-201203.pdf
